Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.783017,151675738.926342,166521239.650243,172233430.657858,185693724.905233,198318064.028924,220613581.972601,237397428.13501,251247457.765525,265040036.417215,274960699.885255,322128018.955444,410669263.651798,541973362.610423,585364634.473977,767102680.239967,754549601.391492,765224029.286556,878771772.202149,1198749667.42923,1705796852.89473,1993512322.62391,2160640564.56041,2097274289.75066,2193581365.34299,2160872540.03175,1849268212.30284,2297753652.34929,2212536311.99319,2389593025.60339,2798746050.11354,2724853505.80336,2933222703.0334,2684323623.14372,1769365437.78801,2116003867.75536,2540697539.05773,2322719102.6909,1949481379.21951,2354772960.28296,3227927697.57921,2796704604.03812,3034250923.97726,3503723087.74483,4656974940.12721,6650001680.48544,8072305029.06514,8782703436.70188,11649857673.4436,9723299915.25312,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919321082.5539,12434793867.7228,10931328149.6857,11834473047.7636,14773900277.9221,13976637328.8474,11468688140.7225,14825690210.0308,15817030156.9459,15321055818.3263,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203559.344361,618245634.179831,645284473.733691,761047198.029653,921063326.589918,919771228.816095,1024102880.05862,1082922724.87189,1281281276.72357,1361360293.42665,1455482795.40691,1584128509.46873,1849400401.64724,2508421426.17572,3070152309.21903,3893839190.26806,4662053824.83955,6265068189.37782,7900526298.31993,9142933966.79465,10175617609.0962,8432589942.39434,7567110848.92228,6838184772.52063,6841639246.8996,6977650643.99488,9158302099.57957,10087654464.8168,10255169805.7996,9757410644.6679,10795850582.779,10492628580.7484,11152971273.9383,11045760288.1206,8313557510.14757,11000146266.5135,18071152830.6101,18047558037.7036,19619654755.679,18870992455.568,16577533891.8785,16810537043.8407,18054383320.8474,21251754340.4305,23510575681.3686,24036918703.1747,25281413263.3712,28760090953.3081,34078240293.2559,33886813250.2036,34936307980.063,36693710801.3976,36302302877.2977,42760235484.6093,48843005613.7091,45815005169.2651,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,78788828906.8634,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930092234.63687,3012836256.98324,3033568603.35196,3059406983.24022,3058779217.87709,3024690167.59777,3033433240.22346,3046364804.46927,3026124134.07821,2534327597.76536,2739608133.18436,3073840325.43285,,
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,131637078689.923,140036716309.145,144189887717.611,161801029341.015,180039001690.823,194128792257.131,190506904528.273,208043838518.908,227934693391.487,252869271646.281,270344193614.773,291523901731.415,323860391269.777,406590663146.377,573053511127.4,638390200268.631,706472966822.798,794025957029.565,886440862315.15,1081197964877.26,1355426060056.14,1506870589235.81,1425568298567.41,1421935166486.91,1438397582849.1,1436209736449.22,1443301513949.36,1465139232814.86,1548914841300.15,1578344500045.58,1840493287531.61,1953004021178.34,2145890831865.87,2382383522279.44,2502116964681.0,2551503564999.77,2767912528836.24,2956209292115.61,2921452243665.12,3090569978611.82,3377700768682.0,3351139229137.53,3254999167379.13,3622987599508.75,4210079741319.68,4895873888500.77,5596741342074.53,6624825302691.11,7460093874185.93,7172729962646.64,8708208712873.16,9813800566552.76,10261753916720.6,10406754465041.8,10766609704140.0,10237020101449.3,10537028724316.6,11393447781978.4,11524427704062.7,11767656585558.1,10981013167791.7,12771307369960.5,14131148776107.2,14847823837515.2,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,157148090063.28,158408605756.869,162135298445.562,180955858209.003,207767279305.521,231258746331.126,258764878061.521,281221664038.818,310695704730.82,358268396086.123,412631100026.355,458546459057.482,570116346638.761,751512068909.423,865802852262.618,947550695384.786,1042088860657.03,1241833980271.35,1569054071388.78,1703076893809.22,1840088028690.59,2028262842507.62,1986883138004.24,2115593849127.75,2263578142661.03,2388076785530.8,3123743377430.43,3667481813464.12,4409114816279.76,4590725407020.23,4790950086067.82,5412827586676.35,5917237193181.68,6619443693296.34,7404385947977.82,8407601716571.46,8101501479612.46,7743809425337.11,6931723210321.33,7743402600342.68,8377363424939.49,7789513198046.97,7912759253773.6,8702214026618.33,9758440010726.34,10411320781531.8,11034810130882.1,12331150790689.8,14220148735114.5,14630641103929.1,17078057240005.2,19796933123174.5,21174178691967.8,21411284057214.5,22089701789223.8,21995274219766.7,22776012762509.5,24329094912610.0,26487859556590.8,27032494942206.6,27156482410418.4,31148240510250.8,30663750183419.1,30775659199419.9,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,80685253692.5945,71080358604.4632,64831016133.1163,70122068232.9255,81001305880.1152,94384459808.692,103261886869.933,100260302962.276,101361171163.813,113979914632.67,126925824955.441,136308104532.469,155206086487.189,195230976298.044,221266224978.823,248314930807.902,252480818646.653,290997332088.262,282442095787.083,327022734234.346,377278090540.096,402781052862.14,423018664643.249,442928582970.242,479908249961.404,525455548823.691,524069708489.486,518006044265.901,574989854347.4,621581734307.141,666023749316.958,722767477607.535,810543820351.351,889640444606.356,1070671695089.99,1320533045024.54,1516598824011.77,1568818619868.31,1431583336978.22,1576109357627.01,1734140610323.9,1844983469200.51,2041978325525.65,2311138073121.47,2679766961249.68,3104015775227.44,3738299975924.3,4726058406128.56,5979821324679.65,6483346119173.79,7890862049222.1,9638846002337.58,10746721177079.8,11855481580395.5,12784467992142.2,13306887306272.5,13597889126598.8,14862823962899.4,16619890220308.8,17192020073785.4,17465773779184.1,20814269278438.4,21087707522778.0,21124121301342.6,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,80767959484.0125,71153218972.9148,64897470661.6991,70193946313.2891,81084335638.3685,94481207864.7343,103367734663.502,100363074005.618,101465070643.538,114096748857.191,127055929284.596,136447378124.727,155365110105.73,195434172451.066,221490887901.374,248567761846.433,252736809869.608,291299809404.428,282730091759.884,327361708083.132,377675119002.893,403202261318.04,423460780802.996,443396661438.403,480418794432.828,526023137328.082,524630078253.095,518550542708.188,575590947068.577,622223091638.777,666707196460.857,723516406265.314,811406235976.499,890618178363.873,1071871019106.17,1322031214501.22,1518329383758.98,1570608551401.31,1433203272257.92,1577918119910.2,1736143014172.34,1847119549328.77,2044360327928.27,2313862647600.91,2682937085437.41,3107694833176.92,3742774301714.16,4731773141261.09,5987096399585.56,6491258516157.22,7900541542589.84,9650693739294.8,10759908112898.0,11870059931822.1,12800187429285.8,13323235973753.0,13614572556661.5,14881098135429.5,16640354816152.1,17213215781553.2,17487334631867.3,20840018387172.9,21113809331055.5,21150247849983.1,
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,,,,,,4948667540.41066,5278005611.91453,5605484298.98275,5932242990.65421,6524455205.81114,8042200452.1477,8609283346.08518,9299638055.84281,10098534613.4411,9228963224.60004,11632178868.9171,13315988083.4161,14400806875.9867,14811704063.0685,18020571428.5714,21669908176.3889,22136081081.0811,27655172413.7931,30966239813.7369,33971188991.6147,39053502251.0732,41253507951.3564,40455616653.5742,34980124929.0176,39756299049.9793,42978914311.3504,37387836490.5284,41855986519.4235,46578631452.581,51897983392.6453,60159245060.4541,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,395926075163.006,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,251547935974.241,280001211512.606,309682844045.604,340867415041.041,377688784742.458,412852327100.68,446696785788.476,474740436968.729,510444782330.281,570281638775.087,645797489611.472,731954124032.642,884219495454.534,1147887891986.71,1301780020040.85,1509429668218.72,1575250806532.18,1791799412675.22,2194147266452.84,2657918872119.1,2976836154321.74,2587111663021.85,2504826677675.29,2443641157282.63,2343942476961.57,2408039726596.14,3379544973186.51,4180009789415.67,4597153410901.03,4695807002305.46,5909782092743.88,6130268732320.05,6751656853901.46,6180929627354.03,6528765017707.34,7538490214319.51,7628743159352.41,6976433292194.28,7175152570560.74,7139949534351.68,6517629739562.02,6619382603491.19,7226691597174.83,8897545940283.21,10202235327777.1,10568560016101.4,11233646616679.6,12938432027569.6,14226784155767.8,13000703039470.1,12700582110966.2,13700831614329.5,12695678622498.6,13255654454944.7,13570070381398.8,11727106023830.5,12025904489799.8,12736901061170.0,13761117139592.9,13481146122147.1,13155164142399.1,14754625131073.3,14224347000135.6,15544858680873.8,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,426443191069.501,469280003585.545,513219975664.42,561276303595.301,620340951902.03,676460952680.477,731651662103.564,777412833292.371,818984557494.708,908300581591.625,1020817804365.85,1152009134804.23,1381535065716.95,1757663865739.86,1986456065661.54,2320724910516.46,2412984174057.91,2729066352656.91,3345784139074.54,4079020913342.22,4611623534358.83,4108150871076.71,3960025757324.45,3840328209015.85,3691045688253.73,3819244965644.86,5207726640026.54,6431399546947.68,7159610197781.09,7254765277401.91,8868968946763.85,9137898920510.6,9788830737692.74,9000999813897.17,9411954540738.09,10868921758424.8,11093788613775.7,10521843390122.4,10794474235063.8,10676207695862.7,10065925069173.9,10168292808351.0,11134331409101.7,13534598831552.2,15775505005718.8,16780903793743.8,18167737736908.1,21227702064340.8,23363341474912.2,20545109873740.8,21016513112950.8,23305973325589.8,22453705241187.9,23454990403618.1,23784373303750.2,20481460301210.5,20408605606979.3,21652842504644.6,23188735732226.2,22908223277507.4,22156549343244.9,25331394418403.8,25389267749916.0,27240628835585.3,
